Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,ocean_proximity,City,Median_House_Value_Category
500001.0,8.8115,34,5264,771,1738,753,34.14,-118.46,14283.32524,22180.76819,199021.232,471369.6709,539370.278,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.153,36,2873,420,850,379,34.14,-118.47,14036.50708,23011.22394,199584.5815,470777.3739,538774.8885,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.629,34,3646,610,1390,607,34.14,-118.47,14036.50708,23011.22394,199584.5815,470777.3739,538774.8885,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.9237,44,1693,239,498,216,34.14,-118.43,15334.98128,19737.55676,197347.7135,473152.4303,541161.4832,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.2954,37,4400,695,1521,666,34.13,-118.43,14355.54274,19212.99834,196460.6227,474000.557,542006.8584,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.042,52,1680,238,493,211,34.15,-118.35,20601.01743,14628.90845,193920.148,477109.7452,545136.9364,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.3,41,3545,698,1221,651,34.15,-118.36,19968.8286,15260.38602,194449.5083,476505.8756,544531.5888,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.5677,28,4287,627,1498,615,34.13,-118.37,17725.55147,14493.97116,193174.691,477586.2096,545606.537,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.5533,34,4624,781,1572,719,34.14,-118.39,17333.29254,16636.04305,195155.8047,475542.9985,543561.4054,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.5575,32,8262,1156,2712,1125,34.13,-118.4,15890.3571,16792.12476,194804.6932,475789.0654,543802.9829,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.0439,27,3990,892,1417,800,34.14,-118.42,15777.74748,18942.65585,196795.4622,473748.6272,541760.2212,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.7823,38,3830,518,1292,516,34.13,-118.42,14827.63974,18395.34543,195905.8058,474595.7609,542604.7365,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.8763,50,2384,312,836,337,34.12,-118.28,23755.5866,8244.004882,187523.3627,483862.9437,551894.587,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.296,30,2774,570,1076,580,34.11,-118.29,22420.96652,7710.568122,187119.9542,484092.0501,552121.5362,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.9591,49,2850,379,1113,380,34.11,-118.29,22420.96652,7710.568122,187119.9542,484092.0501,552121.5362,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.4389,25,1590,218,568,206,34.11,-118.3,21606.88524,8255.789584,187641.2126,483486.5118,551514.7616,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.9391,52,1954,245,645,237,34.11,-118.3,21606.88524,8255.789584,187641.2126,483486.5118,551514.7616,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.0073,39,3895,561,1271,536,34.12,-118.31,21373.20396,9699.285189,189079.3097,482043.4052,550071.7268,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.0833,34,1856,273,540,264,34.13,-118.32,21235.53109,11142.73596,190517.4399,480600.3766,548628.7706,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.0352,23,1894,416,769,392,34.12,-118.33,19839.9112,10952.86559,190132.1831,480835.0161,548860.4924,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.6739,45,2375,417,751,410,34.13,-118.34,19777.6839,12387.03151,191571.278,479391.8922,547417.4468,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.0965,23,4574,1423,1624,995,34.14,-118.32,21908.87678,12025.86257,191432.7754,479763.1186,547792.81,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.6974,40,5485,1242,2034,1133,34.11,-118.34,18451.53155,10951.82375,189757.3223,481073.6541,549095.6913,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.0179,52,1096,247,423,230,34.1,-118.36,16303.25866,11957.3525,189935.2155,480717.3358,548733.2796,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,1.8209,29,3193,1452,2039,1265,34.1,-118.34,17855.51515,10339.42365,188853.6304,481916.1796,549936.2619,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.3661,52,1430,186,547,178,34.08,-118.34,16821.37934,9393.867124,187052.977,483604.491,551620.2776,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.5083,52,1777,454,671,439,34.08,-118.33,17664.17659,8529.280054,186511.4129,484203.3767,552221.296,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.615,34,2821,399,843,391,34.12,-118.37,16958.79622,13859.92106,192274.3884,478429.4924,546447.7331,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.5136,26,3902,610,1468,632,34.12,-118.36,17651.0854,13096.56977,191734.3431,479029.4577,547049.7025,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.1717,33,7478,1678,2701,1500,34.11,-118.35,17694.68936,11710.2277,190293.9891,480472.7811,548492.9442,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.5195,35,3946,695,1361,620,34.11,-118.36,16954.1175,12490.50757,190833.6603,479872.8516,547891.0105,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.5842,42,5518,979,1863,957,34.11,-118.37,16232.04308,13288.81044,191376.3105,479273.8693,547289.8931,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.5588,36,2963,838,1129,745,34.1,-118.36,16303.25866,11957.3525,189935.2155,480717.3358,548733.2796,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,37,407,67,100,47,34.1,-118.37,15550.90143,12789.074,190480.4888,480119.3343,548133.0126,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.3092,39,3798,586,975,525,34.1,-118.38,14817.62742,13632.28176,191028.7152,479522.2845,547533.5653,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.944,30,6310,957,1776,880,34.1,-118.39,14106.41288,14484.96999,191579.8693,478926.19,546934.9404,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.3214,41,730,126,230,125,34.09,-118.39,13409.32503,14115.96999,190691.6159,479774.6979,547780.715,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.8942,31,2697,706,1059,689,34.09,-118.37,14921.61878,12369.36555,189586.9553,480965.8819,548977.0871,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.0972,52,58,52,41,27,34.05,-118.26,22975.25605,1523.677353,180059.0875,490939.0308,558963.976,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.8062,52,2156,306,861,311,34.07,-118.32,18126.53186,7302.452863,185070.6474,485647.034,553664.8753,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,52,1841,240,693,218,34.06,-118.33,16913.33218,7998.591213,184714.5714,485894.0561,553907.43,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,52,2248,255,813,265,34.07,-118.33,17257.04324,8193.083014,185611.8361,485048.1795,553063.889,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,52,1482,171,531,161,34.07,-118.33,17257.04324,8193.083014,185611.8361,485048.1795,553063.889,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.4574,52,2089,309,883,281,34.06,-118.34,16030.89564,8915.000882,185261.5156,485297.1118,553308.0969,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.2185,52,2980,366,967,359,34.07,-118.32,18126.53186,7302.452863,185070.6474,485647.034,553664.8753,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.7393,52,983,246,578,204,34.06,-118.32,17799.72053,7083.434291,184170.6826,486491.9418,554507.5751,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,52,955,100,457,120,34.06,-118.32,17799.72053,7083.434291,184170.6826,486491.9418,554507.5751,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.3674,20,3264,1248,2919,1191,34.07,-118.31,19000.91124,6420.450569,184532.5415,486246.8254,554266.6702,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.8202,24,1336,453,1268,426,34.06,-118.31,18689.49842,6170.087579,183629.8762,487090.7655,555108.5297,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.89,52,2497,406,1030,412,34.07,-118.35,15536.0186,9990.979387,186703.3544,483853.2956,551864.353,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.1328,52,2315,356,894,345,34.07,-118.35,15536.0186,9990.979387,186703.3544,483853.2956,551864.353,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.586,52,1421,163,495,167,34.08,-118.34,16821.37934,9393.867124,187052.977,483604.491,551620.2776,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,52,1721,195,688,196,34.08,-118.34,16821.37934,9393.867124,187052.977,483604.491,551620.2776,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.2223,52,1621,284,588,272,34.07,-118.34,16393.22361,9089.805265,186156.0807,484450.2656,552463.714,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.1618,52,3421,598,1203,564,34.07,-118.34,16393.22361,9089.805265,186156.0807,484450.2656,552463.714,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.5871,52,2756,542,971,510,34.08,-118.34,16821.37934,9393.867124,187052.977,483604.491,551620.2776,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.5719,45,3312,880,1157,809,34.07,-118.35,15536.0186,9990.979387,186703.3544,483853.2956,551864.353,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.5573,21,3653,956,1510,890,34.07,-118.38,13017.11521,12711.72485,188363.0858,482068.0846,550071.1806,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.4722,52,3446,1360,1768,1245,34.06,-118.35,15153.10133,9832.313014,185811.4882,484701.1124,552709.5786,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.1669,52,1314,170,629,214,34.06,-118.34,16030.89564,8915.000882,185261.5156,485297.1118,553308.0969,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.9605,52,2130,455,921,395,34.06,-118.36,14280.80532,10750.29658,186364.4624,484106.0615,552111.8777,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.5596,52,1608,289,630,252,34.06,-118.37,13415.08021,11668.79312,186920.4114,483511.9625,551514.9969,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.0217,52,2402,506,878,464,34.06,-118.37,13415.08021,11668.79312,186920.4114,483511.9625,551514.9969,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.0956,35,3517,879,1632,784,34.05,-118.38,12181.8878,12561.24222,186597.9719,483770.6109,551767.633,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,0.4999,29,515,229,2690,217,34.02,-118.28,20782.07972,4903.715482,178405.9703,492267.7273,560283.0656,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.2816,29,6447,1012,2184,960,34.12,-118.39,15645.16658,15438.2779,193363.3162,477232.4147,545246.2514,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,32,5578,753,1567,697,34.11,-118.4,14204.6794,15764.19152,193021.8829,477482.6409,545491.4652,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.3767,27,2089,303,654,270,34.12,-118.42,13901.55913,17900.45008,195018.4302,475443.9838,543450.2122,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.7296,27,10806,1440,3511,1352,34.11,-118.43,12463.55103,18321.95927,194693.3652,475700.0657,543700.4808,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.9835,27,1613,200,497,197,34.09,-118.43,10700.00217,17667.49849,192935.5513,477403.876,545397.9029,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.7449,20,10722,1617,3731,1511,34.12,-118.45,12530.24929,20439.59879,196699.0251,473664.2627,541661.659,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,36,3129,392,862,334,34.09,-118.44,10119.47127,18563.46863,193503.6003,476813.597,544804.285,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,46,778,90,238,93,34.08,-118.43,9888.089286,17437.68744,192060.2668,478257.3799,546248.0278,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.1576,52,1500,176,384,145,34.08,-118.45,8677.350821,19253.60472,193204.434,477079.7667,545063.3373,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.8442,31,6675,842,2092,796,34.1,-118.45,10545.42833,19730.52297,194946.8768,475369.8842,543360.6137,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.8426,35,3247,525,1065,484,34.08,-118.46,8161.12468,20163.35548,193780.654,476492.4317,544472.2551,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.1978,32,8041,1141,2768,1106,34.1,-118.47,9773.561085,21510.28532,196091.5108,474192.2545,542175.8743,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,13.2935,27,6603,879,2336,868,34.11,-118.49,10406.48712,23576.78289,198111.4261,472161.2676,540141.1392,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.7937,29,4767,777,1500,638,34.07,-118.48,6329.612921,21858.57843,194081.711,476180.1985,544147.954,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.5153,40,3351,484,1564,523,34.07,-118.48,6329.612921,21858.57843,194081.711,476180.1985,544147.954,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.8665,37,4042,549,1318,542,34.07,-118.48,6329.612921,21858.57843,194081.711,476180.1985,544147.954,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,42,2861,360,829,310,34.06,-118.49,4968.754124,22708.08021,193814.3867,476458.3172,544417.3719,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,13.5728,36,2929,366,1054,352,34.07,-118.49,6038.549848,22776.14454,194668.6814,475596.8176,543560.2718,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,13.947,29,9013,1117,2919,1061,34.11,-118.51,10304.83912,25354.00733,199272.3314,470989.584,538961.4777,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0,39,1487,163,414,160,34.05,-118.5,3671.962172,23615.59728,193557.6713,476740.4323,544690.2677,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.1888,37,5477,833,1925,757,34.09,-118.53,8367.323758,26704.17795,198738.091,471545.5255,539499.8335,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.825,45,1814,325,709,311,34.05,-118.52,3843.57462,25458.08629,194755.4053,475582.609,543522.6024,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.5147,47,1985,315,819,340,34.04,-118.52,2818.359716,25494.69951,193914.4527,476449.1097,544384.0863,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.2866,14,7970,1142,2926,1096,34.09,-118.57,6666.345493,30348.16724,201132.1838,469230.2856,537164.6572,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.565,33,6778,1092,2540,1052,34.05,-118.54,4780.77994,27300.58783,195963.4128,474428.8272,542358.3946,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.8619,41,1482,239,617,242,34.04,-118.55,4533.567531,28255.18426,195738.2704,474722.9084,542641.6361,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.2934,34,2095,343,662,299,34.03,-118.56,3621.400478,29250.15629,195523.7435,475020.9843,542928.3555,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.3031,24,2332,349,761,325,34.06,-118.56,4529.925303,29153.10988,198014.5459,472409.6976,540333.6729,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.4233,21,3755,525,1493,526,34.06,-118.54,5670.77423,27311.49818,196801.7519,473561.3793,541496.1112,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.0307,35,9075,1858,3646,1724,34.03,-118.55,4273.304561,28332.16065,194908.1142,475593.364,543506.5771,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.8082,42,993,130,368,134,34.04,-118.52,2818.359716,25494.69951,193914.4527,476449.1097,544384.0863,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,13.6842,43,2167,254,761,256,34.04,-118.52,2818.359716,25494.69951,193914.4527,476449.1097,544384.0863,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.1078,45,1711,264,735,261,34.04,-118.53,3337.03378,26414.77859,194519.8604,475872.6932,543802.4009,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.0318,40,4350,763,1551,665,34.03,-118.53,2603.674077,26496.8782,193684.3389,476741.1885,544665.6394,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,36,4152,542,1461,550,34.05,-118.5,3671.962172,23615.59728,193557.6713,476740.4323,544690.2677,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.9096,39,2603,456,928,410,33.99,-118.55,5056.526653,29066.53308,191616.0432,479085.1608,546975.2467,NEAR OCEAN,Los Angeles,>= $Half Million
500001.0,10.1882,38,4715,691,1660,637,34.04,-118.51,2539.481558,24574.71532,193311.6084,477026.5374,544966.6369,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.6447,45,1271,190,419,171,34.06,-118.47,5795.451265,20867.05486,192637.787,477624.1082,545591.8835,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.4664,45,3030,433,916,399,34.06,-118.47,5795.451265,20867.05486,192637.787,477624.1082,545591.8835,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.5221,48,3623,528,1282,516,34.05,-118.48,4357.359049,21773.12406,192370.4026,477902.2678,545861.3684,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,42,1918,216,632,224,34.05,-118.49,3922.475382,22694.35845,192962.7166,477320.8503,545275.39,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.801,26,6577,1789,2937,1652,34.06,-118.47,5795.451265,20867.05486,192637.787,477624.1082,545591.8835,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.2554,20,5448,1532,2202,1442,34.06,-118.46,6370.534555,19946.64251,192053.5152,478208.4925,546180.4155,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.5909,25,2689,719,1229,663,34.05,-118.47,4928.042252,20851.89471,191780.7536,478484.681,546448.2001,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.7009,22,5215,1193,2048,1121,34.05,-118.47,4928.042252,20851.89471,191780.7536,478484.681,546448.2001,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.175,27,4401,1033,1725,962,34.05,-118.47,4928.042252,20851.89471,191780.7536,478484.681,546448.2001,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.7496,36,2143,434,751,396,34.05,-118.48,4357.359049,21773.12406,192370.4026,477902.2678,545861.3684,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.0285,45,1346,214,415,209,34.05,-118.49,3922.475382,22694.35845,192962.7166,477320.8503,545275.39,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,15.0001,46,1399,148,410,152,34.08,-118.42,10562.18447,16531.91466,191492.369,478847.6509,546841.6307,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.3467,34,3203,483,949,439,34.07,-118.43,9139.553284,17276.5228,191187.4415,479111.942,547099.0894,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.7382,38,3251,656,1251,593,34.07,-118.43,9139.553284,17276.5228,191187.4415,479111.942,547099.0894,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.1674,26,3535,748,1322,666,34.07,-118.44,8452.350755,18191.96993,191760.8025,478523.627,546507.1749,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.9565,35,1973,332,1257,296,34.07,-118.44,8452.350755,18191.96993,191760.8025,478523.627,546507.1749,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.5,28,3910,959,1763,867,34.06,-118.44,7724.687241,18106.06955,190893.1514,479380.2204,547360.0181,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,2.2857,14,520,292,282,213,34.06,-118.44,7724.687241,18106.06955,190893.1514,479380.2204,547360.0181,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.0674,46,1302,215,482,226,34.06,-118.46,6370.534555,19946.64251,192053.5152,478208.4925,546180.4155,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.7703,43,2511,456,808,407,34.07,-118.46,7235.841506,20024.44253,192915.8133,477349.9391,545325.8716,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,14.2867,49,2418,301,850,318,34.07,-118.46,7235.841506,20024.44253,192915.8133,477349.9391,545325.8716,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.2225,42,2564,460,913,414,34.07,-118.46,7235.841506,20024.44253,192915.8133,477349.9391,545325.8716,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.2545,9,5102,1695,2609,1450,34.06,-118.44,7724.687241,18106.06955,190893.1514,479380.2204,547360.0181,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.4674,18,4780,1192,1886,1036,34.05,-118.44,7097.338532,18088.24466,190028.0445,480237.8585,548213.7876,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.2675,11,3184,641,911,463,34.06,-118.43,8471.211253,17185.93591,190317.1092,479967.5567,547951.0833,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.3777,41,1463,267,601,267,34.06,-118.43,8471.211253,17185.93591,190317.1092,479967.5567,547951.0833,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.2555,22,4251,1073,1581,881,34.05,-118.43,7903.433892,17167.04408,189449.3043,480824.2183,548804.0052,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.2389,13,4833,1119,1649,807,34.06,-118.44,7724.687241,18106.06955,190893.1514,479380.2204,547360.0181,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.1527,40,2933,565,1077,536,34.06,-118.42,9249.329939,16265.92723,189743.8603,480555.8699,548542.9874,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.4219,31,1317,284,523,274,34.06,-118.43,8471.211253,17185.93591,190317.1092,479967.5567,547951.0833,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.1908,38,2982,664,1122,572,34.06,-118.43,8471.211253,17185.93591,190317.1092,479967.5567,547951.0833,<1H OCEAN,Los Angeles,>= $Half Million
